# element i j Ke
1 11 2 0.01755811490004083
1 11 3 -0.072872586482690183
1 11 4 -0.04293929782241742
1 11 5 0.071657955041473723
1 11 6 0.077710001558657149
1 11 7 -0.069194137315360907
1 11 8 -0.14360886855622362
1 11 9 0.065823653289776379
1 11 10 0.4347574813497424
1 11 11 0.60498448881449263
1 11 12 0.40692434090781621
1 11 13 0.056890000676351388
1 11 14 -0.11788837264531225
1 11 15 -0.051573904513902369
1 12 0 0.013375669759995894
1 12 1 -0.013375669759995894
1 12 2 0.0058164020323601927
1 12 3 0.025560302691383058
1 12 4 -0.013167876713482241
1 12 5 -0.037511847949482667
1 12 6 0.020189994860232936
1 12 7 0.062129151395626352
1 12 8 -0.026650150950772805
1 12 9 -0.12068915913755079
1 12 10 0.032362281980199872
1 12 11 0.40692434090781621
1 12 12 0.62949576585385048
1 12 13 0.4375557506547626
1 12 14 0.040952843805748936
1 12 15 -0.1494733033257159
1 13 0 0.041805908674349801
1 13 1 -0.041805908674349801
1 13 2 -0.013008784678777724
1 13 3 0.065543505095398663
1 13 4 0.031071208127178753
1 13 5 -0.064656162332960787
1 13 6 -0.053099070030823328
1 13 7 0.062753254450377702
1 13 8 0.085046214208820289
1 13 9 -0.060129510008597079
1 13 10 -0.14852010435958043
1 13 11 0.056890000676351388
1 13 12 0.4375557506547626
1 13 13 0.61354393643720528
1 13 14 0.40596850854840894
1 13 15 0.048919185859379932
1 14 0 -0.0027636211432213054
1 14 1 0.0027636211432213054
1 14 2 -0.0063924461905728105
1 14 3 -0.0075004241189946738
1 14 4 0.01447456458225628
1 14 5 0.015483248761406533
1 14 6 -0.022200703842155917
1 14 7 -0.030181210194378492
1 14 8 0.029318264555946577
1 14 9 0.05721466944527262
1 14 10 -0.035625302545932214
1 14 11 -0.11788837264531225
1 14 12 0.040952843805748936
1 14 13 0.40596850854840894
1 14 14 0.62150001991552584
1 14 15 0.43692090188107718
1 15 0 -0.036594093675181322
1 15 1 0.036594093675181322
1 15 2 0.0097787445409320099
1 15 3 -0.057477548393761173
1 15 4 -0.023080651957089665
1 15 5 0.056944129785202705
1 15 6 0.038388577616904881
1 15 7 -0.055649046672237273
1 15 8 -0.058003914022233177
1 15 9 0.053834955149960464
1 15 10 0.087841162348740676
1 15 11 -0.051573904513902369
1 15 12 -0.1494733033257159
1 15 13 0.048919185859379932
1 15 14 0.43692090188107718
1 15 15 0.62074242931674917
