# n xi P dP
7 0 -0 -2.1875
8 0 0.2734375 -0
9 0 0 2.4609375
10 0 -0.24609375 0
11 0 -0 -2.70703125
12 0 0.2255859375 -0
13 0 0 2.9326171875
14 0 -0.20947265625 0
15 0 -0 -3.14208984375
0 0.10000000000000001 1 0
1 0.10000000000000001 0.10000000000000001 1
2 0.10000000000000001 -0.48499999999999999 0.30000000000000004
3 0.10000000000000001 -0.14749999999999999 -1.425
4 0.10000000000000001 0.3379375 -0.73250000000000015
5 0.10000000000000001 0.17882875000000001 1.6164375
6 0.10000000000000001 -0.24882931249999998 1.2346162500000002
7 0.10000000000000001 -0.19949294375000001 -1.6183435625
8 0.10000000000000001 0.18032072148437497 -1.7577779062500003
9 0.10000000000000001 0.2113876418359375 1.4471087027343748
10 0.10000000000000001 -0.12212499738710933 2.2585872886328127
11 0.10000000000000001 -0.21548535571566407 -1.1175162423949214
12 0.10000000000000001 0.070646554426014599 -2.6975758928274609
13 0.10000000000000001 0.21249543497330811 0.64864761825544381
14 0.10000000000000001 -0.024619109507875565 3.039800851451858
15 0.10000000000000001 -0.2030887671466102 -0.065306557472947682
0 0.29999999999999999 1 0
1 0.29999999999999999 0.29999999999999999 1
2 0.29999999999999999 -0.36499999999999999 0.89999999999999991
3 0.29999999999999999 -0.38250000000000001 -0.82500000000000007
4 0.29999999999999999 0.072937499999999988 -1.7774999999999999
5 0.29999999999999999 0.34538625000000001 -0.16856249999999973
6 0.29999999999999999 0.12918118750000002 2.02174875
7 0.29999999999999999 -0.22407298125 1.5107929374999998
8 0.29999999999999999 -0.23907459101562503 -1.33934596875
9 0.29999999999999999 0.063700381757812494 -2.5534751097656252
10 0.29999999999999999 0.25147634951601566 -0.12903871535156258
11 0.29999999999999999 0.086117925852070343 2.7275282300707033
12 0.29999999999999999 -0.18100217969140722 1.8516735792460548
13 0.29999999999999999 -0.18391780445464601 -1.7975262622144776
14 0.29999999999999999 0.061663865707547227 -3.114107141029387
15 0.29999999999999999 0.20742165960138031 -0.0092741566956071608
0 0.69999999999999996 1 0
1 0.69999999999999996 0.69999999999999996 1
2 0.69999999999999996 0.23499999999999988 2.0999999999999996
3 0.69999999999999996 -0.19250000000000012 2.1749999999999994
4 0.69999999999999996 -0.4120625 0.75249999999999906
5 0.69999999999999996 -0.36519874999999991 -1.5335625000000008
6 0.69999999999999996 -0.1252863124999998 -3.2646862500000005
7 0.69999999999999996 0.1501552937500002 -3.1622845624999987
8 0.69999999999999996 0.30670434648437511 -1.0123568437499975
9 0.69999999999999996 0.2720599303515624 2.0516893277343775
10 0.69999999999999996 0.085805795531640333 4.1567818329296884
11 0.69999999999999996 -0.13265946447277377 3.8536110338988263
12 0.69999999999999996 -0.25664009407164173 1.105614150055894
13 0.69999999999999996 -0.22302215942926504 -2.5623913178922169
14 0.69999999999999996 -0.06277125644869759 -4.9159841545342626
15 0.69999999999999996 0.12320358174007666 -4.3827577549044472
0 0.94999999999999996 1 0
1 0.94999999999999996 0.94999999999999996 1
2 0.94999999999999996 0.85374999999999979 2.8499999999999996
3 0.94999999999999996 0.71843749999999984 5.2687499999999998
4 0.94999999999999996 0.5540898437499997 7.8790624999999999
5 0.94999999999999996 0.37274363281249945 10.255558593749999
6 0.94999999999999996 0.18745362402343671 11.979242460937497
7 0.94999999999999996 0.011227208544920955 12.692455706054679
8 0.94999999999999996 -0.14402345579986667 12.147650589111311
9 0.94999999999999996 -0.26842183105857931 10.244056957456944
10 0.94999999999999996 -0.35488029484085565 7.0476357989983018
11 0.94999999999999996 -0.39960396104447971 2.7915707657989723
12 0.94999999999999996 -0.40230527546437234 -2.1432553050247343
13 0.94999999999999996 -0.36611559690346823 -7.2660611208103392
14 0.94999999999999996 -0.29720689139550854 -12.028376421418377
15 0.94999999999999996 -0.20416210008651359 -15.885060971280085
0 1 1 0
1 1 1 1
2 1 1 3
3 1 1 6
4 1 1 10
5 1 1 15
6 1 1 21
7 1 1 28
8 1 1 36
9 1 1 45
10 1 1 55
11 1 1 66
12 1 1 78
13 1 1 91
14 1 1 105
15 1 1 120
