# element i xi w x mat
0 38 0.27244988903814815 0.0042797675401154058 0.95433741677861117 1
0 39 0.27828085906757383 0.0044402486825406793 0.95871064430068031 1
0 40 0.28421914093242617 0.0044402486825406793 0.96316435569931969 1
0 41 0.29005011096185185 0.0042797675401154058 0.96753758322138883 1
0 42 0.29556302430178838 0.0039646059233203832 0.97167226822634123 1
0 43 0.30055863263758265 0.003506155987888524 0.97541897447818693 1
0 44 0.30485638776109386 0.0029209915138015781 0.97864229082082044 1
0 45 0.30830097507461973 0.0022302776175584294 0.9812257313059648 1
0 46 0.31076796947103852 0.0014590669673120624 0.98307597710327888 1
0 47 0.31216877921848907 0.00063638576746298438 0.9841265844138668 1
0 48 0.31258280519537773 0.0001590964418657461 0.98443710389653338 1
0 49 0.31293300763224036 0.00036476674182801561 0.98469975572418023 1
0 50 0.31354975623134507 0.00055756940438960736 0.98516231717350888 1
0 51 0.31441090305972658 0.00073024787845039451 0.98580817729479497 1
0 52 0.31548534184060439 0.00087653899697213099 0.98661400638045338 1
0 53 0.31673424392455291 0.0009911514808300958 0.98755068294341464 1
0 54 0.31811247225953704 0.0010699418850288515 0.98858435419465274 1
0 55 0.31957021476689351 0.0011100621706351698 0.98967766107517008 1
0 56 0.3210547852331066 0.0011100621706351698 0.99079108892483003 1
0 57 0.32251252774046296 0.0010699418850288515 0.99188439580534726 1
0 58 0.32389075607544709 0.0009911514808300958 0.99291806705658536 1
0 59 0.32513965815939566 0.00087653899697213099 0.99385474361954684 1
0 60 0.32621409694027348 0.00073024787845039451 0.99466057270520503 1
0 61 0.32707524376865493 0.00055756940438960736 0.99530643282649112 1
0 62 0.32769199236775964 0.00036476674182801561 0.99576899427581977 1
0 63 0.32804219480462227 0.0001590964418657461 0.99603164610346662 1
0 64 0.32814570129884441 3.9774110466436524e-05 0.99610927597413335 1
0 65 0.32823325190806013 9.1191685457003903e-05 0.99617493893104514 1
0 66 0.32838743905783629 0.00013939235109740184 0.99629057929337717 1
0 67 0.32860272576493166 0.00018256196961259863 0.99645204432369883 1
0 68 0.32887133546015107 0.00021913474924303275 0.99665350159511334 1
